sno,attendance,homework,discussion,midterm,final,score,grade
1,7.73,19.37,0,35,30.1,92.2,A
2,7.73,20,0,34.12,30.1,91.95,A
3,7.73,19.37,0,34.3,29.75,91.15,A
4,8,18.12,2,31.5,29.05,88.67,A
5,8,20,2,33.25,21.35,84.6,A
6,8,19.37,0,24.5,32.2,84.07,A
7,8,19.37,2,23.8,28.7,81.87,A
8,8,16.87,0,28.87,25.9,79.64,A
9,8,19.37,0,29.75,21.7,78.82,A
10,7.73,20,0,31.5,19.25,78.48,A
11,8,19.37,0,29.57,21.35,78.29,A
12,6.66,19.37,0,31.5,20.65,78.18,A
13,8,19.37,0,29.75,21,78.12,A
14,8,20,0,31.5,18.55,78.05,A
15,7.73,18.12,0,28,23.1,76.95,A
16,8,19.37,0,24.5,24.85,76.72,A
17,7.46,20,0,30.62,18.55,76.63,A
18,8,19.37,0,30.62,18.55,76.54,A
19,8,19.37,0,24.5,24.5,76.37,A
20,8,19.37,0,28,20.65,76.02,A
21,8,19.37,0,35,12.95,75.32,B
22,8,16.87,0,35,15.05,74.92,B
23,8,19.37,0,29.75,17.5,74.62,B
24,8,19.37,0,28,18.9,74.27,B
25,7.73,19.37,2,35,10.15,74.25,B
26,8,16.87,0,30.45,18.9,74.22,B
27,8,19.37,2,22.75,22.05,74.17,B
28,7.73,19.37,0,35,11.9,74,B
29,8,16.25,0,26.25,22.4,72.9,B
30,8,16.87,0,28,19.95,72.82,B
31,8,15,0,28.87,19.95,71.82,B
32,7.73,20,0,30.62,12.6,70.95,B
33,8,19.37,0,23.45,19.95,70.77,B
34,8,20,2,26.25,14.35,70.6,B
35,8,18.12,0,28,16.1,70.22,B
36,8,20,0,28,14,70,B
37,8,16.87,0,24.5,20.3,69.67,B
38,7.73,20,0,25.37,16.45,69.55,B
39,8,13.75,0,33.25,14.35,69.35,B
40,8,20,2,24.5,14.7,69.2,B
41,7.46,19.37,0,24.5,17.85,69.18,C
42,8,19.37,0,22.75,18.55,68.67,C
43,7.73,19.37,0,22.57,18.9,68.57,C
44,8,17.5,0,29.75,13.3,68.55,C
45,8,19.37,0,30.62,10.15,68.14,C
46,8,19.37,0,24.5,15.75,67.62,C
47,8,20,0,29.75,9.8,67.55,C
48,8,16.87,0,19.25,21.35,65.47,C
49,7.73,16.87,0,27.82,12.25,64.67,C
50,8,19.37,0,25.37,11.9,64.64,C
51,7.46,18.75,0,33.25,4.55,64.01,C
52,7.73,17.5,2,22.75,14,63.98,C
53,7.73,15.62,0,21,19.25,63.6,C
54,8,19.37,0,24.5,11.2,63.07,C
55,7.2,17.5,0,18.37,19.6,62.67,C
56,7.73,20,0,19.25,14.7,61.68,C
57,7.46,16.87,0,26.25,10.85,61.43,C
58,8,20,0,28.87,4.55,61.42,C
59,7.46,17.5,0,23.8,12.6,61.36,C
60,8,19.37,0,26.25,7.7,61.32,C
61,7.73,19.37,0,21,12.25,60.35,D
62,8,19.37,0,21,11.9,60.27,D
63,7.73,19.37,0,21.17,11.9,60.17,D
64,7.73,20,0,24.5,7.35,59.58,D
65,8,16.87,0,21.7,12.25,58.82,D
66,7.73,19.37,2,21.87,7.35,58.32,D
67,7.46,19.37,0,15.75,14.35,56.93,D
68,7.46,19.37,0,17.5,11.2,55.53,D
69,8,19.37,2,14.87,11.2,55.44,D
70,7.73,16.87,0,21,9.8,55.4,D
71,8,16.87,0,15.75,13.3,53.92,D
72,7.73,19.37,0,19.25,7.35,53.7,D
73,7.73,19.37,0,24.5,1.05,52.65,D
74,8,19.37,2,22.75,0,52.12,D
75,8,16.25,0,24.5,2.8,51.55,D
76,8,19.37,0,12.25,11.9,51.52,D
77,7.73,15.62,0,16.62,8.05,48.02,D
78,8,15,0,15.05,9.45,47.5,D
79,7.73,16.87,0,11.9,10.5,47,D
80,6.66,16.87,0,22.05,1.4,46.98,D
81,7.73,18.12,0,10.5,10.15,46.5,F
82,7.73,20,0,12.95,5.25,45.93,F
83,7.73,19.37,0,13.12,5.6,45.82,F
84,7.73,18.75,0,17.5,1.05,45.03,F
85,8,19.37,0,14,2.45,43.82,F
86,8,18.75,0,6.12,10.15,43.02,F
87,8,19.37,0,11.37,2.1,40.84,F
88,8,20,0,9.62,2.8,40.42,F
89,8,19.37,0,6.12,4.55,38.04,F
90,7.73,18.75,0,3.5,0,29.98,F
91,7.2,0,0,3.5,1.05,11.75,F
92,5.6,5,0,0,0,10.6,F
